star_age,star_mass,log_R,log_Teff,log_L
4.249214146138870092e+03,1.000000000000000000e+00,-3.013331746750077395e-02,3.743163261835674493e+00,-1.329204775576666442e-01
9.348271121505513293e+03,1.000000000000000000e+00,-3.016210605870881661e-02,3.743156269414869453e+00,-1.330060244233024769e-01
1.546713949194548695e+04,1.000000000000000000e+00,-3.019658910397862717e-02,3.743147878715648691e+00,-1.331085533107236596e-01
2.280978153647345243e+04,1.000000000000000000e+00,-3.023787755339993333e-02,3.743137809857613352e+00,-1.332314056417083781e-01
3.162095198990701465e+04,1.000000000000000000e+00,-3.028729218021714020e-02,3.743125727643748402e+00,-1.333785637508045352e-01
4.219435653402729076e+04,1.000000000000000000e+00,-3.034640008131217828e-02,3.743111229815681451e+00,-1.335547708652611854e-01
5.488244198697161482e+04,1.000000000000000000e+00,-3.041705603257002094e-02,3.743093834024775024e+00,-1.337656659314025442e-01
7.010814453050481097e+04,1.000000000000000000e+00,-3.050144864638346109e-02,3.743072962628733791e+00,-1.340179367431941215e-01
8.837898758274463762e+04,1.000000000000000000e+00,-3.060215068001541361e-02,3.743047923153575152e+00,-1.343194987110917504e-01
1.103039992454324383e+05,1.000000000000000000e+00,-3.072217220953652600e-02,3.743017887334483262e+00,-1.346796850465014073e-01
1.366140132406578050e+05,1.000000000000000000e+00,-3.086487955388056773e-02,3.742981968510248336e+00,-1.351087750321295078e-01
1.681860300349282334e+05,1.000000000000000000e+00,-3.103406401837396217e-02,3.742939287678837434e+00,-1.356178672867607571e-01
2.060724501880527241e+05,1.000000000000000000e+00,-3.123486373448780551e-02,3.742889727953365053e+00,-1.362177056208782322e-01
2.515361543718021421e+05,1.000000000000000000e+00,-3.147228117642241613e-02,3.742828399333509637e+00,-1.369378549841689108e-01
3.060925993923014030e+05,1.000000000000000000e+00,-3.175216209622773456e-02,3.742754977364989522e+00,-1.377913046978594958e-01
3.715603334169005393e+05,1.000000000000000000e+00,-3.208082212706196701e-02,3.742667124930631140e+00,-1.388000344969623490e-01
4.501216142464195145e+05,1.000000000000000000e+00,-3.246489345150459227e-02,3.742562211941651729e+00,-1.399878291017653265e-01
5.443951512418421917e+05,1.000000000000000000e+00,-3.291095596952939989e-02,3.742437090899988217e+00,-1.413804383044679480e-01
6.575233956363495672e+05,1.000000000000000000e+00,-3.342371536811396260e-02,3.742289817885869230e+00,-1.429950491581142569e-01
7.932772889097582083e+05,1.000000000000000000e+00,-3.400888850850880551e-02,3.742115872348969141e+00,-1.448611775865030760e-01
9.561819608378487173e+05,1.000000000000000000e+00,-3.466910206031457997e-02,3.741910875538871029e+00,-1.470015919305082408e-01
1.151667567151557421e+06,1.000000000000000000e+00,-3.540076442371316995e-02,3.741673042387806181e+00,-1.494162492615634108e-01
1.386250294728007633e+06,1.000000000000000000e+00,-3.619624599281482530e-02,3.741399175146868039e+00,-1.521026813635190378e-01
1.667749567819748074e+06,1.000000000000000000e+00,-3.703761208074832917e-02,3.741088778528274261e+00,-1.550270000137615178e-01
2.005548695529836230e+06,1.000000000000000000e+00,-3.789595938626866972e-02,3.740743806512132341e+00,-1.581235826893709617e-01
2.410907648781942204e+06,1.000000000000000000e+00,-3.872770922223253004e-02,3.740371765918855118e+00,-1.612752447344088236e-01
2.897338392684469000e+06,1.000000000000000000e+00,-3.947771059724379528e-02,3.739983364834726931e+00,-1.643288518209414240e-01
3.481055285367501900e+06,1.000000000000000000e+00,-4.007826038179163053e-02,3.739597506650415237e+00,-1.670733841272824538e-01
4.181515556587141007e+06,1.000000000000000000e+00,-4.046063949897107936e-02,3.739239384450196990e+00,-1.692706311625152282e-01
5.022067882050707936e+06,1.000000000000000000e+00,-4.057210898662884369e-02,3.738932824047403347e+00,-1.707198117490057454e-01
6.030730672606987879e+06,1.000000000000000000e+00,-4.039044275578863169e-02,3.738699872483829179e+00,-1.712882855416207606e-01
7.241126021274524741e+06,1.000000000000000000e+00,-3.994079514149653787e-02,3.738552939620557236e+00,-1.709767217661246896e-01
8.693600439675567672e+06,1.000000000000000000e+00,-3.929785295839348380e-02,3.738488320709355772e+00,-1.699493130447257694e-01
1.043656974175681919e+07,1.000000000000000000e+00,-3.856724248386446396e-02,3.738487443380350328e+00,-1.684916014116910332e-01
1.252813290425432287e+07,1.000000000000000000e+00,-3.785066510407898016e-02,3.738526835089131861e+00,-1.669008798169934471e-01
